antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
PACK OF 60 DINOSAUR CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.023921035403132396,0.029561363750818352,0.010323815279246614,0.43157894736842106,14.599426163364116,1.0,0.009616676850398412,1.7072531563643012,0.9543327855113243,0.23920653442240375,0.414263786086909,0.3904061687438357
60 TEATIME FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.029561363750818352,0.023921035403132396,0.010323815279246614,0.3492333901192504,14.599426163364118,1.0,0.009616676850398412,1.4998909743936157,0.959879504347716,0.23920653442240375,0.33328487398606726,0.3904061687438357
60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.029561363750818352,0.029712443974417083,0.012640378707760488,0.42759795570698467,14.391207807582363,1.0,0.011762038343506934,1.6951154624613607,0.9588582876589129,0.2710583153347732,0.4100696842514971,0.426510842260272
PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.029712443974417083,0.029561363750818352,0.012640378707760488,0.42542372881355933,14.391207807582363,1.0,0.011762038343506934,1.6889639981917914,0.9590075882694374,0.2710583153347732,0.4079210681396392,0.426510842260272
PACK OF 72 RETROSPOT CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.0425039029057763,0.029561363750818352,0.01460442161454399,0.3436018957345972,11.62334385622129,1.0,0.013347948279916871,1.4784299801341325,0.9545378207651026,0.2541630148992112,0.32360679001566667,0.4188196872199391
60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.029561363750818352,0.0425039029057763,0.01460442161454399,0.4940374787052811,11.623343856221288,1.0,0.013347948279916871,1.8924249461087852,0.9418073474938711,0.2541630148992112,0.47157745829962483,0.4188196872199391
ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE GREEN,0.02135267160195397,0.03474845142770811,0.012489298484161757,0.5849056603773586,16.83256767842494,1.0,0.011747326212149457,2.325378730651431,0.9611137024980786,0.2863741339491917,0.5699625240315755,0.4721629751162155
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE IVORY,0.03474845142770811,0.02135267160195397,0.012489298484161757,0.35942028985507246,16.83256767842494,1.0,0.011747326212149457,1.5277526167299813,0.9744520572152742,0.2863741339491917,0.3454437655355413,0.4721629751162155
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,0.03474845142770811,0.024726796595658962,0.013899380571083246,0.4,16.176782077393074,1.0,0.013040162680616172,1.625455339007235,0.971957009443314,0.30497237569060776,0.3847877723845916,0.48105906313645624
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN,0.024726796595658962,0.03474845142770811,0.013899380571083246,0.5621181262729125,16.176782077393078,1.0,0.013040162680616172,2.204365164413932,0.9619694309614789,0.30497237569060776,0.5463546529660992,0.48105906313645624
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED ,0.03474845142770811,0.03817293649594601,0.02286347383794128,0.6579710144927536,17.2365836870483,1.0,0.021537023408258915,2.8121214992279544,0.9758946923504951,0.4567404426559356,0.6443965880298764,0.6284578027608887
ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE GREEN,0.03817293649594601,0.03474845142770811,0.02286347383794128,0.5989445910290239,17.236583687048302,1.0,0.021537023408258915,2.4067785322953865,0.9793692637458474,0.4567404426559356,0.5845068473972623,0.6284578027608887
ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE PINK,0.02135267160195397,0.024726796595658962,0.010424535428312435,0.4882075471698114,19.744067747761598,1.0,0.009896552260837015,1.9056029412140123,0.9700653626942167,0.2923728813559322,0.47523170836264306,0.4548980709372479
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE IVORY,0.024726796595658962,0.02135267160195397,0.010424535428312435,0.42158859470468435,19.744067747761598,1.0,0.009896552260837015,1.6919571769135233,0.9734214702693749,0.2923728813559322,0.4089684930299448,0.4548980709372479
ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE RED ,0.02135267160195397,0.03817293649594601,0.014251901092813617,0.6674528301886793,17.484974734903172,1.0,0.013436806915733438,2.892302659047652,0.9633787486551145,0.3147942157953281,0.6542547174750827,0.5204018768357644
ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE IVORY,0.03817293649594601,0.02135267160195397,0.014251901092813617,0.37335092348284965,17.484974734903176,1.0,0.013436806915733438,1.5617151051067766,0.9802261491499471,0.3147942157953281,0.3596783454741391,0.5204018768357644
ALARM CLOCK BAKELIKE ORANGE,ALARM CLOCK BAKELIKE RED ,0.015762703328800927,0.03817293649594601,0.010575615651911166,0.670926517571885,17.575973429320477,1.0,0.00997390697873641,2.9228336978327083,0.9582080969923786,0.2439024390243903,0.6578662683609048,0.4739856862265758
ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE ORANGE,0.03817293649594601,0.015762703328800927,0.010575615651911166,0.2770448548812665,17.575973429320477,1.0,0.00997390697873641,1.3614085234977535,0.9805340095093484,0.2439024390243903,0.26546662317730807,0.4739856862265758
